,pesquisa,titulo,link,comentario,comentario_ingles
14,aparelho de barbear eletrico,Aparelho Retirador De Pelos Do Nariz E Orelha,https://produto.mercadolivre.com.br/MLB-2706390832-aparelho-retirador-de-pelos-do-nariz-e-orelha-_JM#position=45&search_layout=grid&type=item&tracking_id=7b820008-037e-4307-a40e-9395820a9b16,Atendeu as expectativas.,it met expectations
15,aparelho de barbear eletrico,Aparelho De Barbear Depilador Elétrico 3 Em 1 - Recarregável,https://produto.mercadolivre.com.br/MLB-2163943292-aparelho-de-barbear-depilador-eletrico-3-em-1-recarregavel-_JM#position=22&search_layout=grid&type=item&tracking_id=7b820008-037e-4307-a40e-9395820a9b16,Excelente recomendo.,excellent i recommend it
16,aparelho de barbear eletrico,Aparelho De Barbear Eletrico A Prova D'agua Usb Profissional,https://produto.mercadolivre.com.br/MLB-1953810614-aparelho-de-barbear-eletrico-a-prova-dagua-usb-profissional-_JM#position=34&search_layout=grid&type=item&tracking_id=7b820008-037e-4307-a40e-9395820a9b16,Produto cumpre o que promete.,and he fulfills his promise
17,aparelho de barbear eletrico,Aparelho De Barbear Eletrico A Prova D'agua Usb Profissional,https://produto.mercadolivre.com.br/MLB-1953810614-aparelho-de-barbear-eletrico-a-prova-dagua-usb-profissional-_JM#position=34&search_layout=grid&type=item&tracking_id=7b820008-037e-4307-a40e-9395820a9b16,Muito bom veio tudo certinho e cumpre com o prometido.,very good came everything right and fulfills what was promised
18,aparelho de barbear eletrico,Barbeador Eletrico Philips Aquatouch Portatil Bivolt Sem Fio,https://produto.mercadolivre.com.br/MLB-1626249105-barbeador-eletrico-philips-aquatouch-portatil-bivolt-sem-fio-_JM#position=28&search_layout=grid&type=item&tracking_id=7b820008-037e-4307-a40e-9395820a9b16,"Muito bom para o dia a dia, expectativas sao boas.",very good for the day to day expectations are good
19,aparelho de barbear eletrico,Aparelho Elétrico Cabelo E Barba Pronta Entrega Promoção,https://produto.mercadolivre.com.br/MLB-2166487792-aparelho-eletrico-cabelo-e-barba-pronta-entrega-promoco-_JM#position=21&search_layout=grid&type=item&tracking_id=7b820008-037e-4307-a40e-9395820a9b16,Muito bom.,very good
20,aparelho de barbear eletrico,Aparelho Elétrico Cabelo E Barba Pronta Entrega Promoção,https://produto.mercadolivre.com.br/MLB-2166487792-aparelho-eletrico-cabelo-e-barba-pronta-entrega-promoco-_JM#position=21&search_layout=grid&type=item&tracking_id=7b820008-037e-4307-a40e-9395820a9b16,Aqui na super potente atendeu minhas espectativas.,here at the superpowerful met my expectations
21,aparelho de barbear eletrico,Aparelho De Barbear Eletrico A Prova D'agua Usb Profissional,https://produto.mercadolivre.com.br/MLB-1953810614-aparelho-de-barbear-eletrico-a-prova-dagua-usb-profissional-_JM#position=34&search_layout=grid&type=item&tracking_id=7b820008-037e-4307-a40e-9395820a9b16,Muito bom.,very good
22,aparelho de barbear eletrico,Aparelho Barbeador Elétrico Para Fazer Barba Profissional,https://produto.mercadolivre.com.br/MLB-2049273434-aparelho-barbeador-eletrico-para-fazer-barba-profissional-_JM#position=54&search_layout=grid&type=item&tracking_id=7b820008-037e-4307-a40e-9395820a9b16,Boa qualidade.,good quality
23,ar-condicionado portatil,Mangueira Tubo Duto Flexível De Pvc Para Ar Condicionado Portátil 150mm De Diâmetro 3 Metros De Comprimento,https://produto.mercadolivre.com.br/MLB-1275548949-mangueira-tubo-duto-flexivel-de-pvc-para-ar-condicionado-portatil-150mm-de-dimetro-3-metros-de-comprimento-_JM#position=38&search_layout=stack&type=item&tracking_id=bb92ae9a-63a2-4078-b015-785671c03d7a,Atendeu minhas necessidades super recomendo.,it met my needs i highly recommend it
24,ar-condicionado portatil,Mangueira Duto Tubo Flexível De Pvc Para Ar Condicionado Portátil 125mm De Diâmetro 3 Metros De Comprimento,https://produto.mercadolivre.com.br/MLB-1275548775-mangueira-duto-tubo-flexivel-de-pvc-para-ar-condicionado-portatil-125mm-de-dimetro-3-metros-de-comprimento-_JM#position=43&search_layout=stack&type=item&tracking_id=bb92ae9a-63a2-4078-b015-785671c03d7a,"Otimo produto ,de excelente qualidade.",excellent product quality
25,ar-condicionado portatil,Mangueira Duto Tubo Flexível De Pvc Para Ar Condicionado Portátil 125mm De Diâmetro 3 Metros De Comprimento,https://produto.mercadolivre.com.br/MLB-1275548775-mangueira-duto-tubo-flexivel-de-pvc-para-ar-condicionado-portatil-125mm-de-dimetro-3-metros-de-comprimento-_JM#position=43&search_layout=stack&type=item&tracking_id=bb92ae9a-63a2-4078-b015-785671c03d7a,"Parece de papel, extremamente fino!!.",it looks like paper extremely thin
26,ar-condicionado portatil,Ar Condicionado Pequeno Portátil P Carro/caminhão,https://produto.mercadolivre.com.br/MLB-3190774493-ar-condicionado-pequeno-portatil-p-carrocaminho-_JM#position=17&search_layout=stack&type=item&tracking_id=bb92ae9a-63a2-4078-b015-785671c03d7a,Queimou no primeiro dia de uso. Quase leva o computador junto.,it burned on the first day of use you almost take the computer with you
27,ar-condicionado portatil,Mangueira Tubo Duto Flexível De Pvc Para Ar Condicionado Portátil 150mm De Diâmetro 3 Metros De Comprimento,https://produto.mercadolivre.com.br/MLB-1275548949-mangueira-tubo-duto-flexivel-de-pvc-para-ar-condicionado-portatil-150mm-de-dimetro-3-metros-de-comprimento-_JM#position=38&search_layout=stack&type=item&tracking_id=bb92ae9a-63a2-4078-b015-785671c03d7a,Excelente eu recomendo. Bom. Bom.,excellent i recommend good good
28,ar-condicionado portatil,Mangueira Tubo Duto Flexível De Pvc Para Ar Condicionado Portátil 150mm De Diâmetro 3 Metros De Comprimento,https://produto.mercadolivre.com.br/MLB-1275548949-mangueira-tubo-duto-flexivel-de-pvc-para-ar-condicionado-portatil-150mm-de-dimetro-3-metros-de-comprimento-_JM#position=38&search_layout=stack&type=item&tracking_id=bb92ae9a-63a2-4078-b015-785671c03d7a,Atendeu completamente as minhas expectativas. Produto de qualidade.,it completely met my expectations quality product
29,ar-condicionado portatil,Climatizador Ar Frio Umidificador Ar Condicionado Portátil,https://produto.mercadolivre.com.br/MLB-3052504946-climatizador-ar-frio-umidificador-ar-condicionado-portatil-_JM#position=53&search_layout=stack&type=item&tracking_id=bb92ae9a-63a2-4078-b015-785671c03d7a,Superou minha expectativa! muito bom.,it exceeded my expectation very good
30,ar-condicionado portatil,Mangueira Tubo Duto Flexível De Pvc Para Ar Condicionado Portátil 150mm De Diâmetro 3 Metros De Comprimento,https://produto.mercadolivre.com.br/MLB-1275548949-mangueira-tubo-duto-flexivel-de-pvc-para-ar-condicionado-portatil-150mm-de-dimetro-3-metros-de-comprimento-_JM#position=38&search_layout=stack&type=item&tracking_id=bb92ae9a-63a2-4078-b015-785671c03d7a,"Bom atendeu as necessidades, que estavamos esperando.",he met the needs we had been waiting for
31,ar-condicionado portatil,Mini Ar Condicionado Ventilador Umidificador Climatizador,https://produto.mercadolivre.com.br/MLB-2874933202-mini-ar-condicionado-ventilador-umidificador-climatizador-_JM#position=42&search_layout=stack&type=item&tracking_id=bb92ae9a-63a2-4078-b015-785671c03d7a,Funcionou perfeitamente!.,worked perfectly
32,ar-condicionado portatil,Ar Condicionado Pequeno Portátil Carro Caminhão Agua / Gelo,https://produto.mercadolivre.com.br/MLB-3199640026-ar-condicionado-pequeno-portatil-carro-caminho-agua-gelo-_JM#position=18&search_layout=stack&type=item&tracking_id=bb92ae9a-63a2-4078-b015-785671c03d7a,"Excelente, quebra muito o galho.",excellent breaks the branch a lot
33,ar-condicionado portatil,Climatizador Ar Frio Umidificador Ar Condicionado Portátil,https://produto.mercadolivre.com.br/MLB-3052504946-climatizador-ar-frio-umidificador-ar-condicionado-portatil-_JM#position=53&search_layout=stack&type=item&tracking_id=bb92ae9a-63a2-4078-b015-785671c03d7a,"Me atendeu com louvor.
Muito obrigado.","he answered me with praise
thank you very much"
34,ar-condicionado portatil,Mini Ar Condicionado Portatil Ultra Air Umidificador Usb,https://produto.mercadolivre.com.br/MLB-2901884369-mini-ar-condicionado-portatil-ultra-air-umidificador-usb-_JM#position=36&search_layout=stack&type=item&tracking_id=bb92ae9a-63a2-4078-b015-785671c03d7a,Achei que ventilava mais.,i thought it was more ventilating
35,aspirador,Mini Soprador Aspirador De Pó 2em1 Usb Portátil Recarregável,https://produto.mercadolivre.com.br/MLB-3308965960-mini-soprador-aspirador-de-po-2em1-usb-portatil-recarregavel-_JM#position=48&search_layout=stack&type=item&tracking_id=3be1a9a0-8807-4363-8812-98509ec986f5,Excelente produto eu recomendo.,excellent product i recommend
36,aspirador,Aspirador De Po Vertical Portatil Bivolt Usb Recarregável,https://produto.mercadolivre.com.br/MLB-2790270812-aspirador-de-po-vertical-portatil-bivolt-usb-recarregavel-_JM#position=41&search_layout=stack&type=item&tracking_id=3be1a9a0-8807-4363-8812-98509ec986f5,Ruim nao puxa nada!.,bad doesnt pull anything
37,aspirador,Aspirador De Po Vertical Portatil Bivolt Usb Recarregável,https://produto.mercadolivre.com.br/MLB-2790270812-aspirador-de-po-vertical-portatil-bivolt-usb-recarregavel-_JM#position=41&search_layout=stack&type=item&tracking_id=3be1a9a0-8807-4363-8812-98509ec986f5,Muito fraco.,very poor
38,aspirador,Aspirador De Pó E Água Gtw Bagless 1400w Azul E Preto Wap,https://produto.mercadolivre.com.br/MLB-1563981057-aspirador-de-po-e-agua-gtw-bagless-1400w-azul-e-preto-wap-_JM#position=49&search_layout=stack&type=item&tracking_id=3be1a9a0-8807-4363-8812-98509ec986f5,Otimo produto. Super potente. Recomendo.,great product super powerful recommend
39,aspirador,Aspirador E Soprador Pó E Água 14l 1250w Power Duo New Lavor,https://produto.mercadolivre.com.br/MLB-1518198331-aspirador-e-soprador-po-e-agua-14l-1250w-power-duo-new-lavor-_JM#position=43&search_layout=stack&type=item&tracking_id=3be1a9a0-8807-4363-8812-98509ec986f5,Muita bom pra mim supri minhas nessesidades.,very good for me i supplied my in these things
40,aspirador,Aspirador De Pó E Água Gtw Bagless 1400w Azul E Preto Wap,https://produto.mercadolivre.com.br/MLB-1563981057-aspirador-de-po-e-agua-gtw-bagless-1400w-azul-e-preto-wap-_JM#position=49&search_layout=stack&type=item&tracking_id=3be1a9a0-8807-4363-8812-98509ec986f5,"Muito bom o produto, recomendo-o a compra-lo.",very good product i recommend you to buy it
41,aspirador,Aspirador De Pó Mondial Lar Turbo Cycle 1100w Ap-36 1l,https://produto.mercadolivre.com.br/MLB-1930601236-aspirador-de-po-mondial-lar-turbo-cycle-1100w-ap-36-1l-_JM#position=54&search_layout=stack&type=item&tracking_id=3be1a9a0-8807-4363-8812-98509ec986f5,Muito bom recomendo excelente produto.,very good recommend excellent product
42,aspirador,Aspirador De Pó Mondial Lar Turbo Cycle 1100w Ap-36 1l,https://produto.mercadolivre.com.br/MLB-1930601236-aspirador-de-po-mondial-lar-turbo-cycle-1100w-ap-36-1l-_JM#position=54&search_layout=stack&type=item&tracking_id=3be1a9a0-8807-4363-8812-98509ec986f5,Produto funcionou 5 minutos e parou!nao recomendo!.,product worked 5 minutes and stoppeddo not recommend
43,aspirador,Aspirador E Soprador Pó E Água 14l 1250w Power Duo New Lavor,https://produto.mercadolivre.com.br/MLB-1518198331-aspirador-e-soprador-po-e-agua-14l-1250w-power-duo-new-lavor-_JM#position=43&search_layout=stack&type=item&tracking_id=3be1a9a0-8807-4363-8812-98509ec986f5,"Excelente produto, facilitando a vida.",excellent product making life easier
44,aspirador,Aspirador De Po Vertical Portatil Bivolt Usb Recarregável,https://produto.mercadolivre.com.br/MLB-2790270812-aspirador-de-po-vertical-portatil-bivolt-usb-recarregavel-_JM#position=41&search_layout=stack&type=item&tracking_id=3be1a9a0-8807-4363-8812-98509ec986f5,Atende as expectativas.,meeting expectations
45,aspirador,Aspirador De Pó Mondial Lar Turbo Cycle 1100w Ap-36 1l,https://produto.mercadolivre.com.br/MLB-1930601236-aspirador-de-po-mondial-lar-turbo-cycle-1100w-ap-36-1l-_JM#position=54&search_layout=stack&type=item&tracking_id=3be1a9a0-8807-4363-8812-98509ec986f5,"Otimo! superou minhas expectativas. Otimizou muito meu tempo de limpeza.
Vale muito a pena a compra.","great exceeded my expectations it has greatly optimized my cleaning time
it is well worth the purchase"
46,bolsa,Bolsa Feminina Shopper Grande + Bolsinha Promoção Lançamento,https://produto.mercadolivre.com.br/MLB-2027784737-bolsa-feminina-shopper-grande-bolsinha-promoco-lancamento-_JM#position=14&search_layout=grid&type=item&tracking_id=b8577fe4-2209-4c81-bb40-8fd1a62114ce,Recomendo pode comprar sem medo.,i recommend you can buy without fear
47,bolsa,Bolsa Mala De Mão Feminina E Masculina Para Viagem Academia,https://produto.mercadolivre.com.br/MLB-3297116766-bolsa-mala-de-mo-feminina-e-masculina-para-viagem-academia-_JM#position=16&search_layout=grid&type=item&tracking_id=b8577fe4-2209-4c81-bb40-8fd1a62114ce,"Muito bonita , e material bom , o tamanho cabe bastante coisas.",very beautiful  and good material the size fits a lot of things
48,bolsa,Bolsa Feminina Grande Sacola Caramelo Pronta Entrega,https://produto.mercadolivre.com.br/MLB-1222864139-bolsa-feminina-grande-sacola-caramelo-pronta-entrega-_JM#position=9&search_layout=grid&type=item&tracking_id=b8577fe4-2209-4c81-bb40-8fd1a62114ce,Poderia ter uma qualidade melhor tamanho bom mas o material da bolsa deixa a desejar.,it could have a better size good quality but the material of the bag leaves to be desired
49,bolsa,Bolsa Feminina Lorena Média Transversal Shopbag Dubai,https://produto.mercadolivre.com.br/MLB-2171753709-bolsa-feminina-lorena-media-transversal-shopbag-dubai-_JM#position=13&search_layout=grid&type=item&tracking_id=b8577fe4-2209-4c81-bb40-8fd1a62114ce,Muito lindaa.,very pretty
50,bolsa,Bolsa Feminina Com Carteira Com Alça Transversal Promoção,https://produto.mercadolivre.com.br/MLB-1797205038-bolsa-feminina-com-carteira-com-alca-transversal-promoco-_JM#position=27&search_layout=grid&type=item&tracking_id=b8577fe4-2209-4c81-bb40-8fd1a62114ce,"Cor totalmente fosca,na foto parece um tom mais rosado.",totally matte colorin the photo it looks a more pinkish tone
51,bolsa,Bolsa Feminina Transversal De Festa Pequena Mega Promoçao,https://produto.mercadolivre.com.br/MLB-3104343566-bolsa-feminina-transversal-de-festa-pequena-mega-promocao-_JM#position=30&search_layout=grid&type=item&tracking_id=b8577fe4-2209-4c81-bb40-8fd1a62114ce,Muito boa.,very good
52,bolsa,Bolsa Feminina Pequena Transversal De Mão Com Alça Estilosa,https://produto.mercadolivre.com.br/MLB-2646735488-bolsa-feminina-pequena-transversal-de-mo-com-alca-estilosa-_JM#position=15&search_layout=grid&type=item&tracking_id=b8577fe4-2209-4c81-bb40-8fd1a62114ce,"Gente perfeita do jeito que eu imaginei material bom, pequena mesmo para combinar com lok apenas.",perfect people the way i imagined good material small even to combine with lok only
53,bolsa,Bolsa Feminina Shopper Grande + Bolsinha Promoção Lançamento,https://produto.mercadolivre.com.br/MLB-2027784737-bolsa-feminina-shopper-grande-bolsinha-promoco-lancamento-_JM#position=14&search_layout=grid&type=item&tracking_id=b8577fe4-2209-4c81-bb40-8fd1a62114ce,Linda e excelente! super recomendo!.,beautiful and excellent super recommend
54,bolsa,Bolsa Feminina Transversal De Festa Pequena Mega Promoçao,https://produto.mercadolivre.com.br/MLB-3104343566-bolsa-feminina-transversal-de-festa-pequena-mega-promocao-_JM#position=30&search_layout=grid&type=item&tracking_id=b8577fe4-2209-4c81-bb40-8fd1a62114ce,Achei o produto lindo ! e tamanho muito bom.,i found the product beautiful  and very good size
55,bolsa,Bolsa Feminina Bordada De Mão Com Alça Transversal Removível,https://produto.mercadolivre.com.br/MLB-2895289382-bolsa-feminina-bordada-de-mo-com-alca-transversal-removivel-_JM#position=22&search_layout=grid&type=item&tracking_id=b8577fe4-2209-4c81-bb40-8fd1a62114ce,Produto maravilhoso.,wonderful product
56,bolsa,Bolsa Mala De Mão Feminina E Masculina Para Viagem Academia,https://produto.mercadolivre.com.br/MLB-3297116766-bolsa-mala-de-mo-feminina-e-masculina-para-viagem-academia-_JM#position=16&search_layout=grid&type=item&tracking_id=b8577fe4-2209-4c81-bb40-8fd1a62114ce,Adorei a bolsa! cor linda! e aparentemente resistente.,i loved the bag beautiful color and apparently sturdy
57,bolsa,Bolsa Feminina Bordada De Mão Com Alça Transversal Removível,https://produto.mercadolivre.com.br/MLB-2895289382-bolsa-feminina-bordada-de-mo-com-alca-transversal-removivel-_JM#position=22&search_layout=grid&type=item&tracking_id=b8577fe4-2209-4c81-bb40-8fd1a62114ce,A mulher amou.,the woman loved it
58,cadeira de escritorio,Kit 2 Cadeiras Escritório Atendimento Preta Base Giratória,https://produto.mercadolivre.com.br/MLB-3249756129-kit-2-cadeiras-escritorio-atendimento-preta-base-giratoria-_JM#position=50&search_layout=grid&type=item&tracking_id=7519a675-90fe-415e-813f-b7fc6d270bf3,Muito bom ficou top.,very good was top
59,cadeira de escritorio,Cadeira Escritório Giratória Office Arco Estofado Mesh,https://produto.mercadolivre.com.br/MLB-2626998931-cadeira-escritorio-giratoria-office-arco-estofado-mesh-_JM#position=32&search_layout=grid&type=item&tracking_id=7519a675-90fe-415e-813f-b7fc6d270bf3,"Maravilhosa, superou as expectativas.",wonderful it exceeded expectations
60,cadeira de escritorio,Base Estrela Secretária Com Rodízios Em Nylon,https://produto.mercadolivre.com.br/MLB-2157228302-base-estrela-secretaria-com-rodizios-em-nylon-_JM#position=53&search_layout=grid&type=item&tracking_id=7519a675-90fe-415e-813f-b7fc6d270bf3,Muito bom.,very good
61,cadeira de escritorio,Cadeira Escritório Giratória Office Arco Estofado Mesh,https://produto.mercadolivre.com.br/MLB-2626998931-cadeira-escritorio-giratoria-office-arco-estofado-mesh-_JM#position=32&search_layout=grid&type=item&tracking_id=7519a675-90fe-415e-813f-b7fc6d270bf3,Muito bom adorei.,i loved it so much
62,cadeira de escritorio,Cadeira Escritório Giratória 360º Total Preta Reclinável 155,https://produto.mercadolivre.com.br/MLB-2005829354-cadeira-escritorio-giratoria-360-total-preta-reclinavel-155-_JM#position=38&search_layout=grid&type=item&tracking_id=7519a675-90fe-415e-813f-b7fc6d270bf3,Atendeu as minhas expectativas!.,it did not meet my expectations
63,cadeira de escritorio,Cadeira Escritório Giratória Office Arco Estofado Mesh,https://produto.mercadolivre.com.br/MLB-2626998931-cadeira-escritorio-giratoria-office-arco-estofado-mesh-_JM#position=32&search_layout=grid&type=item&tracking_id=7519a675-90fe-415e-813f-b7fc6d270bf3,Ela ficou torta.,she got crooked
64,cadeira de escritorio,Cadeira Escritório Giratória 360º Total Preta Reclinável 155,https://produto.mercadolivre.com.br/MLB-2005829354-cadeira-escritorio-giratoria-360-total-preta-reclinavel-155-_JM#position=38&search_layout=grid&type=item&tracking_id=7519a675-90fe-415e-813f-b7fc6d270bf3,Fiquei muito satisfeito! produto de qualidade!.,i was very pleased quality product
65,cadeira de escritorio,Cadeira Escritório Giratória Office Arco Estofado Mesh,https://produto.mercadolivre.com.br/MLB-2626998931-cadeira-escritorio-giratoria-office-arco-estofado-mesh-_JM#position=32&search_layout=grid&type=item&tracking_id=7519a675-90fe-415e-813f-b7fc6d270bf3,Boa pro valor.,good for value
66,cadeira de escritorio,Cadeira Escritório Giratória 360º Total Preta Reclinável 155,https://produto.mercadolivre.com.br/MLB-2005829354-cadeira-escritorio-giratoria-360-total-preta-reclinavel-155-_JM#position=38&search_layout=grid&type=item&tracking_id=7519a675-90fe-415e-813f-b7fc6d270bf3,Bom so estarei seguro com o tempo mas as rodas sao muito frageis e tive que recompor com uma roda da cadeira substituida.,well ill only be safe with time but the wheels are very fragile and i had to recompose with a replaced chair wheel
67,cadeira de escritorio,Cadeira Escritório Giratória Office Arco Estofado Mesh,https://produto.mercadolivre.com.br/MLB-2626998931-cadeira-escritorio-giratoria-office-arco-estofado-mesh-_JM#position=32&search_layout=grid&type=item&tracking_id=7519a675-90fe-415e-813f-b7fc6d270bf3,Bom produto e chegada dentro do previsto.,good product and arrival on schedule
68,cadeira de escritorio,Cadeira Escritório Giratória Office Arco Estofado Mesh,https://produto.mercadolivre.com.br/MLB-2626998931-cadeira-escritorio-giratoria-office-arco-estofado-mesh-_JM#position=32&search_layout=grid&type=item&tracking_id=7519a675-90fe-415e-813f-b7fc6d270bf3,Eu gostei de mas muito bom a cadeira eu comprei para esposa ela gostou.,i liked it but very good the chair i bought for wife she liked
69,cadeira de escritorio,Cadeira Escritório Giratória 360º Total Preta Reclinável 155,https://produto.mercadolivre.com.br/MLB-2005829354-cadeira-escritorio-giratoria-360-total-preta-reclinavel-155-_JM#position=38&search_layout=grid&type=item&tracking_id=7519a675-90fe-415e-813f-b7fc6d270bf3,"Comprei de presente para o meu sobrinho, ele simplesmente amou.",i bought it as a gift for my nephew he just loved it
70,caixa de som portatil,"Caixa De Som Portátil Bluetooth Jbl Go 3 4,2w À Prova D'água",https://produto.mercadolivre.com.br/MLB-1716041507-caixa-de-som-portatil-bluetooth-jbl-go-3-42w-prova-dagua-_JM#position=48&search_layout=grid&type=item&tracking_id=1aaa9b30-6a36-4ecf-84f4-25a090cfa941,"Muito bom, produto original e de excelente qualidade. Quando forem comprar cuidado pois tem muitos que vendem similar ao original.",very good original product and excellent quality when buying beware as there are many who sell similar to the original
71,caixa de som portatil,Mini Caixinha De Som Bluetooth Kapbom Ka887 Sem Fio Portátil,https://produto.mercadolivre.com.br/MLB-2738131737-mini-caixinha-de-som-bluetooth-kapbom-ka887-sem-fio-portatil-_JM#position=43&search_layout=grid&type=item&tracking_id=1aaa9b30-6a36-4ecf-84f4-25a090cfa941,Para um som ambiente super indicado.,for a super indicated ambient sound
72,caixa de som portatil,Caixa De Som Bluetooth Led Com Led Radio Fm Media Portatil,https://produto.mercadolivre.com.br/MLB-1531231043-caixa-de-som-bluetooth-led-com-led-radio-fm-media-portatil-_JM#position=29&search_layout=grid&type=item&tracking_id=1aaa9b30-6a36-4ecf-84f4-25a090cfa941,"Muito bom! do jeito que eu procurava!.
Fiquei muito satisfeita com a compra.","very good the way i was looking for
i was very pleased with the purchase"
73,caixa de som portatil,Caixa Caixinha Som Bluetooth Portátil Potente Graves Led Usb,https://produto.mercadolivre.com.br/MLB-1768471436-caixa-caixinha-som-bluetooth-portatil-potente-graves-led-usb-_JM#position=51&search_layout=grid&type=item&tracking_id=1aaa9b30-6a36-4ecf-84f4-25a090cfa941,"Excelente compraria novamente, super recomendo.",excellent would buy again super recommend
74,caixa de som portatil,Colar Femino Ponto De Luz Prata 925 + Caixinha Presente,https://produto.mercadolivre.com.br/MLB-2220644359-colar-femino-ponto-de-luz-prata-925-caixinha-presente-_JM#position=2&search_layout=grid&type=item&tracking_id=08d61f6d-8e6d-4789-bf44-6c4182c63459,Bem delicada.,very delicate
