,pesquisa,titulo,link,comentario,comentario_ingles
13,aparelho de barbear eletrico,"Braun Aparelhos de barbear elétrico para homens, Série 5 5018s com cortador de barba preciso, recarregável, molhado e seco com EasyClean",https://www.amazon.com.br/dp/B07Z5K47ZV,"I ordered this product just because of Braun & also saw many positive reviews but after using it for few months,  Compared to the traditional razor -1. It takes a lot of time to shave with electric razor2. You cannot shave beard which is more unshaved for more than 2 weeks with electric razor.3. Cleaning is easier but within 3 months of usage blade got damaged, not so great quality.4. Some areas under the chin was hard to shave with electric and I had to repeat shaving multiple times in the same spot, I have moved back to regular razor and probably use this once in a while.",query length limit exceeded max allowed query  500 chars
14,aparelho de barbear eletrico,"Aparador de Barba Philips Series 3000, Bivolt - BT3206/14",https://www.amazon.com.br/dp/B07G7FVPLP,Cliente totalmente satisfeito.,completely satisfied customer
15,aparelho de barbear eletrico,"Braun Aparelhos de barbear elétrico para homens, Série 5 5018s com cortador de barba preciso, recarregável, molhado e seco com EasyClean",https://www.amazon.com.br/dp/B07Z5K47ZV,Gives me a clean shave. Like the battery life and the shaver is a big improvement over my Series 3. Light weight and ergonomic.,gives me a clean shave like the battery life and the shaver is a big improvement over my series 3 light weight and ergonomic
16,aparelho de barbear eletrico,Babeador Elétrico Kemei Shaver KM-2024 Original,https://www.amazon.com.br/dp/B07PPJRXCZ,Produto muito bom e pratico para viagem!,very good and practical product to go
17,aparelho de barbear eletrico,"Aparador de pelos do corpo Philips series 3000, Bivolt - BG3005/15",https://www.amazon.com.br/dp/B079GF9HRJ,Muito bom para partes mais delicadas do corpo ou que exigem mais cuidado,very good for more delicate parts of the body or requiring more care
18,aparelho de barbear eletrico,"Barbeador de cabe?a masculino Prolife 5 em 1 com LED, elétrico, sem fio, barbeador, recarregável, kit de cuidados secos e molhados IPX5 - à prova d'água",https://www.amazon.com.br/dp/B087JJ9P3R,Excelente produto,excellent product 
19,aparelho de barbear eletrico,"Barbeador de cabe?a masculino Prolife 5 em 1 com LED, elétrico, sem fio, barbeador, recarregável, kit de cuidados secos e molhados IPX5 - à prova d'água",https://www.amazon.com.br/dp/B087JJ9P3R,Boa tarde!! Gostei muito do aparelho atendeu minhas expectativas.,good afternoon i really liked the device met my expectations
20,aparelho de barbear eletrico,"Philips Barbeador Elétrico AquaTouch Series 1000, Bivolt - S1223/41",https://www.amazon.com.br/dp/B0849GQFJX,Bom aparelho,good device
21,aparelho de barbear eletrico,Babeador Elétrico Kemei Shaver KM-2024 Original,https://www.amazon.com.br/dp/B07PPJRXCZ,Muito bom;gosto de usar  com a barba pouco crescida.,very goodi like to wear it with a poorly grown beard
22,aparelho de barbear eletrico,"Philips Barbeador Elétrico AquaTouch Series 1000, Bivolt - S1323/41",https://www.amazon.com.br/dp/B0849GVWW1,Muito bom.,very good
23,aparelho de barbear eletrico,Aparador de Pelos Philips MG3711/15 Multigroom Bivolt,https://www.amazon.com.br/dp/B0791SL91G,Gostei bastante do produto.,i really liked the product
24,ar-condicionado portatil,Mini Ar Condicionado Portátil Arctic Air Cooler Umidificador Climatizador Luz Led,https://www.amazon.com.br/dp/B07QNRPF5W,Tem que pegar o jeito,youve got to get the hang of it
25,ar-condicionado portatil,"AHLERIA NexFan Air Cooler – Mini ventilador portátil de ar condicionado – 4 em 1 refrigerador pessoal evaporativo – umidificador com 7 cores de luz LED – ventilador de resfriamento de mesa USB de 3 velocidades para casa, sala, escritório",https://www.amazon.com.br/dp/B0888J7VMC,Muito ruidoso.,very noisy
26,ar-condicionado portatil,Mini Refrigerador Ar Pessoal Ultra Refrigeração Mesa Escrito,https://www.amazon.com.br/dp/B08RGHSWY1,Um pouco fraco,somewhat weak
27,ar-condicionado portatil,"AHLERIA NexFan Air Cooler – Mini ventilador portátil de ar condicionado – 4 em 1 refrigerador pessoal evaporativo – umidificador com 7 cores de luz LED – ventilador de resfriamento de mesa USB de 3 velocidades para casa, sala, escritório",https://www.amazon.com.br/dp/B0888J7VMC,Muito ruidoso.,very noisy
28,ar-condicionado portatil,Mini Ar Condicionado Climatizador Umidificador Portátil Àgua,https://www.amazon.com.br/dp/B084YR3YTJ,"Ele refresca, estando na minha mesa, mas ele pinga agua por baixo.",he refreshes being at my table but he drips water underneath
29,ar-condicionado portatil,Mini Ar Condicionado Climatizador Umidificador Portátil Àgua,https://www.amazon.com.br/dp/B084YR3YTJ,Veio todo quebrado. Nao da para colocar agua no compartilhamento e ainda nao facilitma a devolucao. Nao comprem,it came all broken you cant put water in the share and it still doesnt make it easy to return dont buy
30,ar-condicionado portatil,Ar Condicionado Portátil Elgin Eco Cube 9.000 BTUs Frio 220v,https://www.amazon.com.br/dp/B085VC2QT1,"Me mudei para um apartamento com ar condicionado antigo que morreu e esse me salvou! Estou esperando voltar no estoque, gostei tanto que quero mais um para a sala.",i moved into an old airconditioned apartment that died and this one saved me im waiting to get back in stock i like it so much i want one more for the living room
31,ar-condicionado portatil,Mini Ar Condicionado Arctic Air Ultra Portátil USB Climatizador,https://www.amazon.com.br/dp/B08VHGNM18,Pouco efetivo,somewhat effective
32,ar-condicionado portatil,"AHLERIA NexFan Air Cooler – Mini ventilador portátil de ar condicionado – 4 em 1 refrigerador pessoal evaporativo – umidificador com 7 cores de luz LED – ventilador de resfriamento de mesa USB de 3 velocidades para casa, sala, escritório",https://www.amazon.com.br/dp/B0888J7VMC,Bom Produto para vc ter por perto em ambientes pequenos e bem na sua frente.,good product for you to have around in small environments and right in front of you
33,ar-condicionado portatil,Mini Ar Condicionado Portátil Resfria E Umidifica,https://www.amazon.com.br/dp/B0844Q1WYN,Deve estar pois Dri de presente,it must be because dri as a gift
34,ar-condicionado portatil,Mini Ar Condicionado Climatizador Umidificador Portátil Àgua,https://www.amazon.com.br/dp/B084YR3YTJ,Uso no calor,use in heat
35,ar-condicionado portatil,Mini Ar Condicionado De Mesa Purificador Climatiza Portátil,https://www.amazon.com.br/dp/B084Z38TNK,melhor coprar um ventilador.,better copy a fan
36,aspirador,Aspirador de Pó Vertical WAP Silent Speed Max 3 e 1 1350W Filtro HEPA e Tecnologia Cyclone 127V,https://www.amazon.com.br/dp/B0BT26M491,RECOMENDO.,
37,aspirador,Aspirador de Pó Vertical WAP Silent Speed Max 3 e 1 1350W Filtro HEPA e Tecnologia Cyclone 127V,https://www.amazon.com.br/dp/B0BT26M491,"silencioso, limpa bem, compra da vida",quiet clean well buy life
38,aspirador,Aspirador de pó com saco Electrolux filtro HEPA 1800W suporte acessorios interno controle de sucção ajuste de potência EQP20 127v,https://www.amazon.com.br/dp/B07DP6J9GW,"Bom produto, bom manuseio",good product good handling
39,aspirador,"Aspirador de Pó Vertical e Portátil de Mão 2 em 1 WAP HIGH SPEED 1000W 1,2 litros Filtro HEPA 127V",https://www.amazon.com.br/dp/B07XY7TWRL,Top demais,too top
40,aspirador,"Aspirador de Pó Vertical e Portátil de Mão 2 em 1 WAP HIGH SPEED 1000W 1,2 litros Filtro HEPA 127V",https://www.amazon.com.br/dp/B07XY7TWRL,Meu brinquedo novo diminuiu o tempo d arrumar a casa,my new toy shortened the time to clean the house
41,aspirador,"Aspirador para Carro 12V, Potência 70W, Tramontina",https://www.amazon.com.br/dp/B076KMPV47,Atendeu as minhas necessidades perfeitamente,it met my needs perfectly
42,aspirador,"Aspirador de Pó, Bas1430, 1250w, Vermelho, 110v, Britânia",https://www.amazon.com.br/dp/B07C5JTVTV,"Sem problemas,  bom.",no problem  good
43,aspirador,Aspirador água pó Electrolux potente função sopro acessorios carro lavajato 1300W 20L total 18L util protetor termico GTCAR 127v,https://www.amazon.com.br/dp/B0838B3QCR,Excelente produto,excellent product 
44,aspirador,"Aspirador para Carro 12V, Potência 70W, Tramontina",https://www.amazon.com.br/dp/B076KMPV47,Atendeu minhas expectativas,met my expectations
45,aspirador,Aspirador de Pó Vertical WAP Silent Speed Max 3 e 1 1350W Filtro HEPA e Tecnologia Cyclone 127V,https://www.amazon.com.br/dp/B0BT26M491,Produto muito bom mas barulhento. Entrega conforme combinado.,very good but noisy product delivery as agreed
46,aspirador,Aspirador de pó com saco Electrolux filtro HEPA 1800W suporte acessorios interno controle de sucção ajuste de potência EQP20 127v,https://www.amazon.com.br/dp/B07DP6J9GW,Senti falta de um tubo mais longo,i missed a longer tube
47,aspirador,"Aspirador de Pó, Bas1430, 1250w, Vermelho, 110v, Britânia",https://www.amazon.com.br/dp/B07C5JTVTV,"Bom produto, bem acabado, porem um pouco barulhento, e cabo de energia curto",good product well finished but a little noisy and short power cable
48,bolsa,Bolsa Feminina Com Alça de Mão e Ombro Reajustável e Com Bolso Externo + Detalhe em Corrente,https://www.amazon.com.br/dp/B0B98411K6,Bolsa e linda e realmente e de couro eu adorei.nota 10.,bag is beautiful and really and leather i loved note 10
49,bolsa,Bolsa Feminina Lorena Com Alça Removível,https://www.amazon.com.br/dp/B084QCKF6P,"Lindas, leves e perfeitas!",beautiful light and perfect
50,bolsa,"FYY organizador eletrônico, bolsa organizadora de cabo de viagem bolsa de acessórios eletrônicos bolsa de transporte portátil impermeável dupla camadas bolsa de armazenamento tudo-em-um para cabo, cabo, carregador, telefone, fone de ouvido preto",https://www.amazon.com.br/dp/B0924H4XB9,"Produto de excelente qualidade,  chegou bem embalado e antes do prazo.",excellent quality product  arrived well packaged and ahead of schedule
51,bolsa,Bolsa Feminina Com Alça de Mão e Ombro Reajustável e Com Bolso Externo + Detalhe em Corrente,https://www.amazon.com.br/dp/B0B98411K6,Gostei muito,awfull
52,bolsa,PUMA Bolsa Evercat Cambridge,https://www.amazon.com.br/dp/B071K9GBKW,No dia a dia,on a daily basis
53,bolsa,Bolsa Feminina Com Alça de Mão e Ombro Reajustável e Com Bolso Externo + Detalhe em Corrente,https://www.amazon.com.br/dp/B0B98411K6,Muito bonitaE funcional,very beautiful and functional
54,bolsa,Bolsa Feminina Grande Sacola Shopping Willibags,https://www.amazon.com.br/dp/B08DS55RCW,"produto mt bom, recomendo.",good mt product recommend
55,bolsa,BOLSA OMBRO Olympikus BOLSA PRINTED feminino,https://www.amazon.com.br/dp/B09TG3Q56B,Maior do que eu imaginei. Bem resistente e muito bonita. Amei,bigger than i imagined very tough and very beautiful i love it
56,bolsa,Bolsa Feminina Lorena Com Alça Removível,https://www.amazon.com.br/dp/B084QCKF6P,"Lindas, leves e perfeitas!",beautiful light and perfect
57,bolsa,Bolsa Feminina Grande Sacola Shopping Willibags,https://www.amazon.com.br/dp/B08DS55RCW,Comprei para dar de presente e a pessoa amou o produto. Bonita e de qualidade. Recomendo.,i bought it as a gift and the person loved the product beautiful and quality i recommend it
58,bolsa,oshhni Bolsa feminina de grande capacidade bolsa de ombro vintage bolsa de trabalho Bolsa leve para o dia a dia,https://www.amazon.com.br/dp/B08L448TLY,Gostei demais,i liked it too much
59,bolsa,Kit Bolsa sacola feminina grande com nécessaire + Bolsa saquinho transversal com porta moeda,https://www.amazon.com.br/dp/B0BDBBJ9NP,"Simples, mas gostei",simple but i liked it
60,cadeira de escritorio,Cadeira Para Escritório Presidente Giratória Ergonômica KTM 312P-Infomóveis,https://www.amazon.com.br/dp/B0975H84VT,"Achei o manual de montagem meio confuso tive que entrar na internet e ver mas tirando isso nada a reclamar , os materiais parece ser bons . Sobre a ergonomia estou me adptando , ela deixa suas costas eretas oque impede vc curvar sua coluna , mas indico , podem comprar .",i found the assembly manual a little confusing i had to go online and see but apart from that nothing to complain about  the materials seem to be good  about ergonomics i am adapting it leaves your back erect which prevents you from curving your spine  but i indicate  you can buy 
61,cadeira de escritorio,Cadeira de Escritório Secretária Giratória com rodinhas Tecido - QualiFlex,https://www.amazon.com.br/dp/B08N4BH8CR,"Pro custo, a cadeira faz bastante jus.",for the cost the chair does quite a bit of justice
62,cadeira de escritorio,Cadeira Escritório Presidente Atlanta Duoffice Preta Comfort DU500A,https://www.amazon.com.br/dp/B09VNBCFDJ,Gostei do produto e da rapidez da entrega,i liked the product and the speed of delivery
63,cadeira de escritorio,Cadeira para Escritório Giratória com apoio para os pés Big Boss - Preta - LMS-BE-8436-T3 - Preta,https://www.amazon.com.br/dp/B0842SYZ7T,Excelente.,
64,cadeira de escritorio,Cadeira De Escritório Três Confort Executive Preta e Cromada,https://www.amazon.com.br/dp/B0B356ZL2Z,eu recomendo,i do recommend
65,cadeira de escritorio,Cadeira Para Escritório Presidente Giratória Ergonômica KTM 312P-Infomóveis,https://www.amazon.com.br/dp/B0975H84VT,Sem o que reclamar,without what to complain
66,cadeira de escritorio,cadeira de ergonomica escritorio（Preto）,https://www.amazon.com.br/dp/B0BKKGRTS9,Muito bom a cadeira,very good chair
67,cadeira de escritorio,"Cadeira Presidente Giratória, Mymax, 25.008922, Preto",https://www.amazon.com.br/dp/B07FF7QYKY,"Boa cadeira, rodinhas um pouco travadas, mas boa no geral",good chair wheels a little stuck but good overall
68,cadeira de escritorio,Cadeira de Escritório Presidente Tela Apoio de Cabeça com relax e base cromada - Qualiflex Móveis,https://www.amazon.com.br/dp/B0BXQS76SM,"cadeira bem resistente, se montada corretamente",very sturdy chair if assembled correctly
69,cadeira de escritorio,cadeira de ergonomica escritorio（Preto）,https://www.amazon.com.br/dp/B0BKKGRTS9,Boa mas pequeno para mim,good but small for me
70,cadeira de escritorio,Cadeira de Escritório Presidente Base Cromada com Rodinha Fortt Liverpool Marrom - Cpf05-m,https://www.amazon.com.br/dp/B0BQCTBV6K,Cadeira perfeita super recomendo .,perfect chair i highly recommend 
71,cadeira de escritorio,Cadeira de Escritório Secretária Giratória com rodinhas Tecido - QualiFlex,https://www.amazon.com.br/dp/B08N4BH8CR,Dentro da espectativa.,within expectation
72,caixa de som portatil,Caixinha de Som Bluetooth Mini Speaker 3w Feitun Fn-0006,https://www.amazon.com.br/dp/B07CTX7DGV,"Atendeu minhas expectativas, super alta, dura em torno de umas 2hs .",it met my expectations super high lasts around 2 hours 
73,caixa de som portatil,"JBL, Caixa de Som Bluetooth, Go 3 - Preta",https://www.amazon.com.br/dp/B08FB2H6Y4,"Produto perfeito, superou as expectativas, pelo tamanho tem boa qualidade",perfect product exceeded expectations by size has good quality
74,caixa de som portatil,Bose SoundLink Revolve I I Caixa Portátil Bluetooth (Triple Black),https://www.amazon.com.br/dp/B08VKXP1VY,"We have 3 Bose Revolve speakers in our home, My wife, my son and I all have our own. I bought my wife the smaller Revolve II because she doesn't listen to her music real loud and it costs a lot less than the larger ones that my son and I have. To my surprise, you have to really listen carefully to tell the difference in volume and sound quality between the larger Bose Revolve and the smaller Revolve II.  When I purchased my Revolve speaker, I went to Fry's and listened to about 10 different portable speakers. The Bose Revolve had the best sound quality of all of them. I've had mine for 8 years now, I use it a lot and the sound is just as good as new and the battery still holds a charge for weeks at a time.",query length limit exceeded max allowed query  500 chars
75,caixa de som portatil,"Caixa de Som Bluetooth Anker Soundcore Motion Boom com drivers Titanium, tecnologia BassUp, IPX7 à prova d'água, tempo de reprodução 24h, aplicativo Soundcore, alça embutida, alto-falante Bluetooth portátil",https://www.amazon.com.br/dp/B08LQNL42Z,Muito satisfeito,very satisfied
76,caixa de som portatil,"SABALA DR-205 Caixa de Som Bluetooth Portátil Rádio FM com Luz 360° de Alta Fidelidade HiFi Estéreo Externo,10H de Tempo de Reprodução, 20W RMS Potência (Azul)",https://www.amazon.com.br/dp/B09WDM521K,chegou antes do prazo de entrega gostei muito do produto,arrived before the delivery time i really liked the product
77,caixa de som portatil,Caixa de Som Portátil LG Xboom Go XG7 Bluetooth 24h de Bateria - XG7QBK.ABRALLK,https://www.amazon.com.br/dp/B0BT861NW1,Melhor comprar,best buy
78,caixa de som portatil,Caixa de Som 400w Amplificada Bluetooth TWS Mp3 Rádio Fm LEDS RGB Conexão Usb Tipo C Cartão SD P2 Aux com Microfone P10,https://www.amazon.com.br/dp/B0BLP7T8QN,Foi para meu neto e ele gostou,it was for my grandson and he liked it
79,caixa de som portatil,"JBL Go 3: Alto-falante portátil com Bluetooth, bateria integrada, recurso à prova d'água e poeira - preto",https://www.amazon.com.br/dp/B08KW1KR5H,Adorei linda demais perfeita mesmo,i loved it too beautifully even
80,caixa de som portatil,"JBL Go 3: Alto-falante portátil com Bluetooth, bateria integrada, recurso à prova d'água e poeira - preto",https://www.amazon.com.br/dp/B08KW1KR5H,Amei! Me surpreendeu. Super recomendo,love it surprised me super recommend
81,caixa de som portatil,"JBL, Caixa de Som Bluetooth, Go 3 - Preta",https://www.amazon.com.br/dp/B08FB2H6Y4,"Bateria boa, som de qualidade",good battery quality sound
82,caixa de som portatil,"JBL, Caixa de Som Bluetooth, Clip 4 - Vermelha",https://www.amazon.com.br/dp/B08HRWYJSX,Som com bom volume e qualidade JBL.,sound with good volume and jbl quality
83,caixa de som portatil,Bose SoundLink Revolve I I Caixa Portátil Bluetooth (Triple Black),https://www.amazon.com.br/dp/B08VKXP1VY,Por enquanto gostando muito do som.,for now i really like the sound
84,calca jeans,Kit 3 Calças Jeans Masculina Skinny Moderna,https://www.amazon.com.br/dp/B099PTF4B4,Adorei e recomendo,i loved it and recommend it
85,calca jeans,Jeans Motherhood Maternity,https://www.amazon.com.br/dp/B077HVJ2F5,"I really like these jeans but the sizing is off. I bought both the small and medium to compare and see which which sizing felt best to me. I'm a size 4 prepregnancy and according to the chart should be a small but am generally between sizes so ordered both just in case, and I'm glad I did. The jeans are stretchy and I like the medium wash but the small pair I received is bigger than the medium pair. (See photos) The colors are slightly different too with the medium being a bit lighter than the small but not a big difference. I tried on the medium first and was surprised to see they felt a bit tight (still wearable but tighter than I would have thought/preferred). I wasn't even going to bother trying on the small but realized the small looked bigger than the medium so tried on and they felt similar but a bit loser than the medium. I then measured them because I thought that was odd and sure enough the small is bigger. I double checked the tags inside and the sizing is correct and the styles are identical so not sure what happened. Length fits me great - I'm 5'2'' and debated ordering petite but glad I ordered the regular instead. I wanted to purchase another pair in a different color as well but can't due to not knowing wht size to order!",query length limit exceeded max allowed query  500 chars styles are identical so not sure what happened length fits me great  im 5 2 and debated ordering petite but glad i ordered the regular instead i wanted to purchase another pair in a different color as well but cant due to not knowing wht size to order
86,calca jeans,Kit 3 Calças Jeans Masculina Almix,https://www.amazon.com.br/dp/B095W3S1DH,Bom produto,good product
87,calca jeans,Kit 3 Calça Jeans Masculina Original,https://www.amazon.com.br/dp/B084TC2M31,"Pelo valor, vale",for the value it is worth
88,calca jeans,"Calça Jeans Skinny Amaralina Calça Jeans Skinny Amaralina, Reserva, Masculino",https://www.amazon.com.br/dp/B08W9GWYQD,Excelente qualidade,excellent quality
89,calca jeans,Kit 3 Calças Jeans Masculina Skinny Moderna,https://www.amazon.com.br/dp/B099PTF4B4,Comprei para trabalhar e compraria de novo.,i bought it for work and would buy it again
90,calca jeans,Calça Moletom Masculina Jogger Skinny,https://www.amazon.com.br/dp/B08DSNZ6LG,"Entrega rapida, Custo/beneficio muito bom.O tamanho do quadril e da cintura deu certinho.Achei um pouco longa.Tenho 1,70m, 86Cm de cintura e 99cm de quadril.",fast delivery very good costbenefit the size of the hip and waist worked fine i found it a little long i have 170 m 86cm of waist and 99cm of hip
91,calca jeans,Kit 3 Calças Jeans Masculina Almix,https://www.amazon.com.br/dp/B095W3S1DH,Confortavel,
92,calca jeans,Calça Jeans Masculina Skinny Moderna,https://www.amazon.com.br/dp/B098K1YRVT,Produto bom,good product
93,calca jeans,Kit 2 Calças Jeans Masculina Tradicional,https://www.amazon.com.br/dp/B09HSQH4FB,Produto atendeu as minhas expectativas,product met my expectations
94,calca jeans,Kit 3 Calças Jeans Masculina Almix,https://www.amazon.com.br/dp/B095W3S1DH,Produto de acordo com o esperado,product as expected
95,calca jeans,Calça Moletom Masculina Jogger Skinny,https://www.amazon.com.br/dp/B08DSNZ6LG,Muito bonita e de qualidade,very beautiful and quality
96,camera digital,Camera Digital Sony Cyber-shot DSC-WX500,https://www.amazon.com.br/dp/B00VWJOLI0,Export of pictures unavalable,export of pictures unavalable
97,camera digital,"Câmera Sony Cyber-Shot DSC-W800 20.1MP Visor 2.7 - Zoom Óptico 5x Imagem Panorâmica, Preta",https://www.amazon.com.br/dp/B00KJX57I8,Produto entregue antes do prazo e dentro do esperado.,product delivered ahead of schedule and on time
98,camera digital,Câmera Digital Sony W830 Nova Hd 20.1mp Zoom 8x,https://www.amazon.com.br/dp/B00HNJWUBI,This is my go to camera.  I've ordered several as I use it daily.  I'm hard on them but I don't like the other camera's I've tried.,this is my go to camera  ive ordered several as i use it daily  im hard on them but i dont like the other cameras ive tried
99,camera digital,Câmera Digital Sony W830 Nova Hd 20.1mp Zoom 8x,https://www.amazon.com.br/dp/B00HNJWUBI,"The camera is far too complicated for me to use.  I couldn't correct the time because I couldn't return to ""Time and Date.""  I put the battery pack in but I can't remove it which might allow me to re-set the time.  The menu doesn't help.  It may have a lot of stuff but I don't understand how to find what I need.  I downloaded both the ""Help Guide"" and ""Operating Instruction"" but they are not adequate unless you are a camera expert because they don't adequately explain how to do things. And neither document tells how to remove the battery pack.  Furthermore, the ""Help Guide"" is extremely small print.  I had to use a magnifier to read it.I spent several hours trying to follow the instructions on how to use the camera before I gave up and decided to return it.",query length limit exceeded max allowed query  500 chars
100,camera digital,"Olympus Câmera À Prova D'Água Olympus Tough Tg-6, Preto",https://www.amazon.com.br/dp/B07RCM7D36,"I have used Olympus cameras for many years now. I am a stock photographer and sell a large number of photos each month. I have been selling my underwater photos since the 1970s and I was excited about having a small camera I could use underwater. I was very pleased with the camera. Small, tough body and great features. You can imagine my surprise when I saw terrible Chromatic aberration in my landscape photos. Terrible noise photos and were only sharp in macro mode. I thought it must be a defect. I sent the camera back to Olympus to have it checked out. Got it back. No change. My iPhone 13pro takes much better, and more usable photos than this camera. I hope Olympus places a new lens and chip in the TG7. I would pay double for a camera like this I could use.",query length limit exceeded max allowed query  500 chars
101,camera digital,Sony Câmera Vlog ZV-1F para criadores de conteúdo e vloggers,https://www.amazon.com.br/dp/B0BHKKHNHM,"justo lo que estaba buscando, ademas tiene accesorios que la haran una potente camara",just lo who was searching ademas tiene accesorios que la haran una potente camara
102,camera digital,Camera Digital Panasonic Lumix DC-FZ80,https://www.amazon.com.br/dp/B01MS16V42,"I really like this camera - it seems a great value for the money.  (I got it at a sale price, too:  $297.  That price comes around every so often, and is worth waiting for IMO.)It's not top of the line, but it's light and very easy to use.  The zoom is fantastic.  I use to it photograph birds, mostly, and other animals as well - and you can get good images from very far away without scaring them away.  Again, not top of the line, but really quite good for the price.  The telephoto lens can go bad, I've read, as mine did - after three years it  sometimes stopped extending and I have to shut the camera off and on again to make it work.  After 4 years and some rough handling by me, it still does work well for far-away subjects, although at this point the wide-angle view is fuzzy around the edges; I bought another one which I'll take better care of, and still use the old one to bang around with.  I also own a pretty good camera with a good telephoto lens - but this is my day-to-day go-to camera for hiking.  I'm not a pro; just in it for the enjoyment.",query length limit exceeded max allowed query  500 chars camera for hiking  im not a pro just in it for the enjoyment
103,camera digital,"Canon Câmera digital PowerShot SX540 com zoom óptico de 50x – Wi-Fi e NFC habilitado (preto), 1-1067C001",https://www.amazon.com.br/dp/B019UDIAI6,Compacta e wifi.Recomendo a todos.,compact and wifi i recommend it to everyone
104,camera digital,"Canon Câmera digital PowerShot SX540 com zoom óptico de 50x – Wi-Fi e NFC habilitado (preto), 1-1067C001",https://www.amazon.com.br/dp/B019UDIAI6,"For what it is - an inexpensive bridge camera - this product holds up. It produces image of a quality comparable to DSLRs and with a wide range of user-friendly settings that make lining up and making a photograph straightforward and simple. However, there are drawbacks to any bridge camera, and they certainly don't offer the range of photographic freedoms that DSLRs do, even if the images they produce can be evenly compared in terms of technical quality. Someone looking for a good camera for vernacular photography, family vacations, and things of this nature will not be disappointed by the flexibility of this camera, nor the image quality, and at a price not much higher than one might expect of the point-and-shoot more common of the genre, it's a steal. but serious photographers, even relatively poor ones like myself, would benefit tremendously by the freedom and flexibility offered for the hundred extra dollars it would take to buy a DSLR of comparable quality.Go9od at what it's good at, bad at what it's not. Reasonably-priced either way.",query length limit exceeded max allowed query  500 chars at bad at what its not reasonablypriced either way
